customer_id,avg_bandwidth_dsl,avg_bandwidth_fiber_optic
B36217,NULL,5766.235014
B374505,3903.674979,NULL
B381427,NULL,4654.72171
B392635,NULL,NULL
B393356,NULL,2461.030222
B39992,956.6535443,NULL
B406551,NULL,NULL
B419814,4936.469796,NULL
B424659,NULL,NULL
B442664,NULL,4933.193936
B448076,NULL,953.6134686
B464898,6469.664211,NULL
B488148,NULL,5666.607489
B491501,877.5328489,NULL
B49281,4875.213905,NULL
B507395,5126.884955,NULL
B508012,NULL,5292.78252
B536861,NULL,NULL
B541413,NULL,NULL
B545599,1640.244176,NULL
B564637,1523.800316,NULL
B565042,NULL,1301.332682
B585942,NULL,485.4228279
B593910,4784.796994,NULL
B599924,NULL,5208.138235
B607212,NULL,1841.554887
B619322,NULL,NULL
B635354,NULL,6161.278314
B641384,NULL,NULL
B643657,NULL,NULL
B651452,NULL,5902.886646
B652550,NULL,NULL
B677068,NULL,4579.594851
B692438,NULL,1069.849043
B714519,NULL,2142.048492
B717434,NULL,482.1944216
B72873,NULL,1151.849425
B745310,6542.285377,NULL
B749266,NULL,5806.466997
B749928,6398.595369,NULL
B759427,2329.912456,NULL
B789652,NULL,5989.298293
B794135,2207.767111,NULL
B803995,NULL,6254.922893
B813081,1193.589255,NULL
B813556,NULL,1935.621118
B816555,NULL,NULL
B817366,5307.317588,NULL
B831451,5739.842827,NULL
B844433,1771.134878,NULL
B848374,NULL,786.0804243
B87304,1345.804923,NULL
B874036,NULL,NULL
B908324,NULL,6205.48799
B912449,1822.961538,NULL
B918135,NULL,6062.107187
B920638,1752.198908,NULL
B954936,NULL,NULL
B958792,NULL,375.6589979
B981819,NULL,1209.751161
C102532,NULL,NULL
C116690,NULL,NULL
C129717,NULL,3095.105954
C139501,1150.804118,NULL
C139959,NULL,834.8359967
C142453,NULL,5356.753961
C160792,NULL,NULL
C167419,NULL,586.1493754
C18933,NULL,NULL
C189627,NULL,NULL
C203739,NULL,573.5316869
C242980,NULL,NULL
C26175,NULL,6516.163879
C271341,NULL,4276.019791
C28344,NULL,1064.595704
C289581,NULL,5730.433744
C294086,1908.654798,NULL
C305571,NULL,NULL
C313073,NULL,1751.748167
C336869,2588.430434,NULL
C355455,NULL,5557.721713
C363428,5281.851852,NULL
C367217,NULL,NULL
C374537,NULL,NULL
C380194,NULL,1318.027865
C383664,NULL,NULL
C399738,NULL,NULL
C400987,1002.424825,NULL
C405760,NULL,NULL
C406817,NULL,1118.312856
C431268,NULL,5380.823835
C432978,NULL,5999.064003
C450994,4718.201931,NULL
C454652,NULL,NULL
C48384,NULL,NULL
C501301,1559.33881,NULL
C503358,NULL,5249.37739
C518382,NULL,1243.779967
C523628,NULL,NULL
C544905,NULL,1984.668288
C548406,2009.785388,NULL
C552632,NULL,2559.878176
C582722,NULL,NULL
C602006,NULL,NULL
C607550,6092.399467,NULL
C620479,2079.326294,NULL
C62438,NULL,497.4668116
C628526,NULL,NULL
C63133,NULL,5394.861435
C634232,1138.169594,NULL
C643455,NULL,4853.919295
C658180,NULL,NULL
C671723,NULL,1062.404345
C68339,NULL,NULL
C712292,NULL,NULL
C739541,2037.009094,NULL
C742082,NULL,NULL
C742414,NULL,373.2772664
C774228,NULL,1328.747604
C793481,NULL,NULL
C812291,NULL,NULL
C81893,NULL,1053.415573
C81935,5626.567359,NULL
C825312,NULL,5869.863059
C843114,NULL,NULL
C843272,6955.375666,NULL
C852951,5653.372513,NULL
C86799,6816.033585,NULL
C875335,1135.537453,NULL
C875992,2256.776479,NULL
C884701,NULL,581.3197743
C909763,NULL,NULL
C912709,NULL,1129.471568
C914865,NULL,NULL
C920444,1627.193453,NULL
C951645,NULL,1123.252119
C960158,6656.287,NULL
C985142,1852.013833,NULL
D07038,5771.251702,NULL
D117185,1859.062929,NULL
D120097,NULL,4646.632157
D130964,NULL,4024.612201
D164540,1464.442974,NULL
D171933,6169.677579,NULL
D194859,NULL,NULL
D195797,NULL,1115.476658
D217513,NULL,NULL
D225235,NULL,5765.098354
D260697,NULL,5483.045236
D262797,NULL,2094.027389
D269899,NULL,1916.832871
D277330,NULL,1215.994181
D287693,1655.231847,NULL
D289914,NULL,NULL
D290234,NULL,5695.706857
D292409,NULL,NULL
D299114,NULL,NULL
D302447,5934.141788,NULL
D366434,2089.469335,NULL
D376081,4157.920412,NULL
D37619,NULL,NULL
D377681,5368.841578,NULL
D398300,NULL,1454.923517
D39869,NULL,694.7582953
D404497,NULL,5974.963224
D405206,6376.421613,NULL
D419396,NULL,1136.110777
D423729,1345.940597,NULL
D426377,NULL,NULL
D429172,4977.814552,NULL
D456001,6089.067076,NULL
D457155,1590.329883,NULL
D463575,6733.970943,NULL
D481847,6356.496066,NULL
D493302,1251.289889,NULL
D500075,NULL,NULL
D504035,5684.731048,NULL
D516454,NULL,NULL
D545228,6135.9085,NULL
D548131,NULL,5730.023775
D553284,NULL,NULL
D598970,NULL,5760.776706
D633161,1011.509096,NULL
D647144,NULL,5942.591122
D648598,NULL,2113.691713
D651499,NULL,5595.201151
D654440,NULL,1614.234523
D656330,NULL,763.7549084
D666505,NULL,NULL
D675061,6286.671937,NULL
D684561,NULL,NULL
D71220,NULL,942.1751694
D721433,6282.463563,NULL
D741982,NULL,NULL
D754301,NULL,4695.750395
D760092,1434.828418,NULL
D761680,NULL,NULL
D762674,NULL,NULL
D769071,1771.091615,NULL
D793833,6279.520379,NULL
D828705,NULL,5616.657455
D832053,NULL,1381.481321
D838879,NULL,1197.086571
D843552,NULL,4611.987
D85371,NULL,NULL
D860746,NULL,1338.619611
D861252,4839.103673,NULL
D862321,NULL,773.1752584
D86641,NULL,895.8563668
D873060,NULL,NULL
D873414,NULL,1925.911722
D901316,1623.273925,NULL
D926717,6348.304776,NULL
D93867,6558.022236,NULL
D948859,NULL,769.3159079
D952319,NULL,6185.77752
D960842,851.811469,NULL
D970501,NULL,4991.819551
D985247,5467.571494,NULL
D994268,5123.664714,NULL
D994982,NULL,5163.620396
D995911,5245.226834,NULL
E125308,NULL,2729.316361
E135599,NULL,1986.939234
E136064,4984.78563,NULL
E138231,NULL,5241.552098
E148039,NULL,NULL
E159151,NULL,5978.652711
E172718,NULL,483.0491679
E177109,6228.197573,NULL
E186134,NULL,1726.803854
E197128,NULL,NULL
E198606,NULL,1365.14372
E208886,NULL,4794.939338
E231042,NULL,NULL
E245051,2138.11032,NULL
E249601,NULL,422.3998081
E267017,789.5226439,NULL
E279536,NULL,4194.479859
E28570,NULL,432.0011277
E323139,6114.267462,NULL
E330599,1648.102673,NULL
E332398,NULL,NULL
E338308,NULL,4886.937383
E380866,NULL,NULL
E383758,6455.138761,NULL
E439042,1919.921479,NULL
E450349,NULL,6572.01585
E457135,NULL,NULL
E460114,NULL,449.1682295
E468347,NULL,1134.240308
E47652,1562.246266,NULL
E488783,2673.10157,NULL
E505861,NULL,677.1757219
E555705,NULL,1761.052193
E556319,NULL,4783.40882
E55745,NULL,2025.167432
E557858,NULL,5677.324438
E563177,NULL,NULL
E582623,NULL,1385.020283
E590504,955.1927172,NULL
E617210,NULL,5062.064883
E620176,NULL,6516.704569
E634326,1192.502878,NULL
E638386,6558.341155,NULL
E638993,NULL,6274.249297
E645811,NULL,3754.296166
E651305,NULL,NULL
E688523,NULL,756.9340947
E715967,5364.761472,NULL
E716533,NULL,NULL
E740186,861.7738077,NULL
E740766,NULL,NULL
E747706,5473.238444,NULL
E753173,4321.771592,NULL
E759213,NULL,951.886985
E78840,NULL,414.3393996
E795487,NULL,NULL
E80213,2129.856605,NULL
E813683,NULL,3866.102336
E819146,6310.455935,NULL
E827525,NULL,5807.811165
E84336,6117.671345,NULL
E885584,NULL,1094.028517
E890386,NULL,6149.65603
E898891,NULL,NULL
E930275,2586.074672,NULL
E944296,NULL,1086.270579
E964588,5972.05769,NULL
E966195,NULL,NULL
E970292,NULL,NULL
E975865,NULL,NULL
E976279,2297.2034,NULL
E976731,NULL,4694.576597
F100864,5009.989918,NULL
F130726,NULL,1366.71852
F146437,NULL,NULL
F159274,4914.99202,NULL
F16781,NULL,655.8888087
F186234,6092.611808,NULL
F198326,2657.509636,NULL
F239052,1186.812133,NULL
F25518,2060.536764,NULL
F269252,6184.630782,NULL
F270670,NULL,NULL
F283929,NULL,6270.108334
F28689,5243.262555,NULL
F288388,NULL,NULL
F296062,NULL,5278.695296
F318775,NULL,NULL
F330383,NULL,NULL
F333860,733.4036934,NULL
F346649,2792.394717,NULL
F34950,2489.519356,NULL
F353304,NULL,745.0493094
F383331,NULL,921.1401066
F390846,NULL,5748.620529
F393894,NULL,5924.499555
F394583,NULL,5640.487005
F412119,NULL,982.3393738
F413995,NULL,4979.183398
F418834,NULL,1333.179191
F43067,991.424632,NULL
F437041,NULL,2588.510628
F444920,NULL,397.1455126
F454437,NULL,NULL
F46928,NULL,NULL
F471471,NULL,NULL
F473020,NULL,5503.376914
F474662,NULL,1372.679029
F494529,NULL,1836.91871
F498478,NULL,1427.321538
F504193,NULL,3964.578207
F504510,NULL,1779.049529
F515768,6310.388284,NULL
F520630,NULL,3802.601867
F520698,NULL,4647.66648
F522569,1840.628269,NULL
F523785,NULL,NULL
F524918,NULL,NULL
F537282,1006.71226,NULL
F544673,NULL,5056.967909
F552446,1038.488008,NULL
F552828,6413.177133,NULL
F582818,NULL,4610.508173
F58625,NULL,NULL
F586435,NULL,NULL
F589782,NULL,NULL
F592408,NULL,631.6069096
F593304,NULL,5085.716683
F594045,NULL,4143.62851
F60760,NULL,761.9139877
F624787,NULL,520.7155239
F633030,5435.229637,NULL
F64095,2119.656047,NULL
F652541,NULL,4206.817797
F659682,5855.929799,NULL
F681575,NULL,NULL
F698431,NULL,NULL
F719220,NULL,1914.400241
F729151,NULL,NULL
F744495,NULL,NULL
F761138,NULL,4769.420216
F765325,NULL,3260.745232
F774584,NULL,NULL
F78209,1832.163914,NULL
F790515,NULL,NULL
F812880,NULL,1886.312286
F813169,NULL,1120.873005
F847848,NULL,1333.444788
F84786,NULL,NULL
F851755,1245.2646,NULL
F876097,NULL,NULL
F878212,NULL,NULL
F880256,NULL,5612.009142
F882447,6410.875978,NULL
F893663,NULL,NULL
F904069,NULL,5796.999774
F905282,5232.068649,NULL
F911285,NULL,NULL
F929683,1734.660297,NULL
F937361,1141.442182,NULL
F98602,NULL,6116.195461
F997820,NULL,NULL
G03073,NULL,4912.337528
G06529,1183.751805,NULL
G106476,1404.435534,NULL
G121569,NULL,NULL
G124632,NULL,NULL
G174513,NULL,1396.329395
G18578,NULL,1409.472824
G20890,5651.302353,NULL
G214956,5918.124559,NULL
G214970,NULL,1387.096942
G215554,5454.264521,NULL
G223396,1964.775503,NULL
G241795,NULL,628.7420412
G248257,NULL,NULL
G255435,NULL,1118.046807
G265562,NULL,NULL
G272085,6806.914428,NULL
G27660,NULL,956.9132284
G280276,NULL,NULL
G28056,NULL,5695.712663
G286091,NULL,NULL
G287039,NULL,NULL
G299299,6422.525635,NULL
G307248,1837.391501,NULL
G31296,NULL,944.3304649
G324107,NULL,6177.436257
G332624,4115.795378,NULL
G336446,4839.958124,NULL
G340831,NULL,3735.933485
G341241,NULL,NULL
G364947,NULL,NULL
G371724,1826.678884,NULL
G39363,NULL,NULL
G412206,NULL,5833.372426
G417957,NULL,292.4731737
G451927,NULL,4132.534649
G45989,5116.876043,NULL
G502249,NULL,3771.873422
G503874,NULL,6071.607482
G514638,NULL,NULL
G534310,NULL,NULL
G540903,NULL,5417.413606
G551449,NULL,5831.696572
G581130,2396.551383,NULL
G581987,NULL,4929.50237
G608721,NULL,6372.288678
G632313,NULL,1386.2317
G64810,NULL,NULL
G670932,5743.829083,NULL
G67438,NULL,726.6441549
G676884,NULL,839.4587853
G680326,NULL,5869.077797
G695985,NULL,1397.701335
G705750,NULL,4200.226885
G715462,NULL,1277.1051
G72246,NULL,NULL
G730827,1501.093332,NULL
G736869,NULL,1131.849487
G753886,6368.533526,NULL
G761865,NULL,2913.842578
G769178,NULL,1261.554565
G779745,4439.358981,NULL
G786082,NULL,460.5286853
G837666,NULL,NULL
G856109,1638.383088,NULL
G861521,NULL,4622.488998
G879772,NULL,1036.098256
G88174,NULL,5260.956377
G885667,4927.165029,NULL
G885904,NULL,NULL
G88929,NULL,NULL
G890475,NULL,2196.794349
G897228,1511.485403,NULL
G898600,NULL,729.7825005
G906721,NULL,1731.015044
G912511,6727.30047,NULL
G932953,NULL,2192.448535
G941019,1367.4247,NULL
G963411,NULL,895.2266874
H100331,NULL,6351.617139
H104879,NULL,693.5913883
H108397,5669.10693,NULL
H113074,NULL,NULL
H130516,NULL,NULL
H151913,2230.367018,NULL
H153597,NULL,NULL
H155905,5861.769044,NULL
H168237,NULL,990.747598
H17041,NULL,5114.144656
H174467,NULL,727.8878928
H176781,1571.814704,NULL
H185700,NULL,NULL
H20147,6746.802832,NULL
H232921,2509.367174,NULL
H233450,6562.450391,NULL
H248782,5185.798642,NULL
H286080,5644.516819,NULL
H292733,NULL,1874.789062
H294328,6092.04938,NULL
H298416,1663.371666,NULL
H300268,6528.05337,NULL
H313345,5304.643513,NULL
H314025,NULL,4791.676231
H315719,2954.525101,NULL
H316557,NULL,1523.207235
H330611,2080.564441,NULL
H337960,3181.511605,NULL
H35820,1131.268205,NULL
H361743,NULL,1245.735579
H365334,NULL,1023.023077
H374449,NULL,NULL
H383527,NULL,3171.439732
H404111,NULL,714.7114049
H409478,NULL,NULL
H433038,NULL,4103.479649
H441282,NULL,1080.663566
H44622,6236.657026,NULL
H466983,5441.447547,NULL
H482032,NULL,1743.325286
H509049,NULL,837.8796845
H510824,NULL,5745.359728
H511997,NULL,847.6690217
H523291,1582.783024,NULL
H525851,NULL,NULL
H528993,NULL,NULL
H530265,NULL,1325.414246
H553856,NULL,904.5618908
H623733,5714.324105,NULL
H633094,NULL,4923.409973
H664759,6279.052879,NULL
H673597,NULL,1271.791514
H683825,6754.62207,NULL
H690253,1245.217129,NULL
H69857,NULL,6001.347694
H719093,NULL,1017.061783
H738392,NULL,6107.912748
H751283,NULL,NULL
H756625,NULL,4955.138722
H758978,NULL,5677.907968
H765008,6570.010431,NULL
H773690,4782.774479,NULL
H774850,2275.16632,NULL
H793835,NULL,NULL
H797612,NULL,5512.596647
H866755,NULL,1335.96148
H878507,NULL,NULL
H887808,NULL,1144.495358
H906651,4879.170769,NULL
H932507,NULL,2354.102724
H932939,NULL,922.1362066
H93869,NULL,5243.121015
H940380,NULL,583.5711218
H941836,NULL,1664.080114
H948553,NULL,NULL
H969768,4956.677539,NULL
H980247,NULL,1973.393367
H999115,NULL,1274.915029
I110210,NULL,2023.901526
I132993,NULL,991.3985734
I136611,NULL,NULL
I137232,6379.279332,NULL
I156558,NULL,587.538153
I229526,NULL,5717.977095
I245220,NULL,NULL
I246752,NULL,1508.478673
I250569,NULL,5217.771684
I250725,4715.545669,NULL
I251400,NULL,6157.745923
I280791,NULL,NULL
I288648,NULL,1747.20978
I29405,NULL,1752.77238
I299891,NULL,NULL
I303339,NULL,831.3672853
I340772,NULL,NULL
I354960,NULL,5041.432965
I362734,NULL,NULL
I370992,1647.38223,NULL
I383783,NULL,6243.997319
I383825,NULL,NULL
I401418,6677.35743,NULL
I401442,NULL,1742.811202
I489435,NULL,NULL
I493092,1268.086909,NULL
I503010,5921.61952,NULL
I514878,1241.877666,NULL
I524441,NULL,NULL
I526734,1097.407168,NULL
I536159,NULL,5236.791874
I552955,5706.02232,NULL
I580698,NULL,4833.292191
I585452,NULL,5276.705264
I590360,NULL,2299.047664
I602999,1351.805265,NULL
I60609,1246.012987,NULL
I621118,NULL,NULL
I622745,NULL,5835.931989
I636534,6589.069717,NULL
I642753,NULL,772.3849869
I664915,NULL,5640.714867
I668927,NULL,1084.371719
I679830,NULL,5783.315378
I685889,NULL,655.4429632
I702999,NULL,NULL
I714132,NULL,NULL
I718294,5943.184132,NULL
I721653,NULL,NULL
I740366,NULL,NULL
I747598,1967.957184,NULL
I749108,NULL,NULL
I756693,NULL,4958.500526
I757738,901.8793581,NULL
I761973,NULL,641.4963126
I768093,NULL,NULL
I792144,2761.982244,NULL
I79242,6168.427344,NULL
I799863,5777.579326,NULL
I809998,6255.328337,NULL
I818374,6205.78959,NULL
I830183,NULL,959.4182525
I840543,NULL,461.4404406
I841051,NULL,NULL
I85282,NULL,394.0148722
I879540,NULL,957.1118873
I887277,NULL,4639.229318
I889626,5674.253089,NULL
I895720,NULL,5932.680423
I903464,NULL,NULL
I928058,4897.15967,NULL
I940654,1670.602657,NULL
I953052,NULL,2183.450856
I969152,NULL,NULL
I980987,NULL,NULL
I983678,NULL,5712.51151
J04479,NULL,4672.740002
J04574,NULL,750.8768234
J110435,NULL,1369.012136
J112293,NULL,704.6408647
J12843,NULL,NULL
J137993,NULL,465.629346
J158737,6498.14477,NULL
J205864,NULL,NULL
J21342,4872.598082,NULL
J216031,NULL,NULL
J219576,5919.136057,NULL
J220096,NULL,4254.289639
J227266,NULL,1746.405243
J25646,NULL,5372.192462
J315269,NULL,NULL
J318999,949.9087685,NULL
J327417,6359.030108,NULL
J342420,2027.035214,NULL
J349776,4607.641291,NULL
J37804,NULL,1142.427499
J378975,NULL,1296.081512
J379461,NULL,1310.382845
J397554,NULL,770.971694
J413185,NULL,5045.986552
J420961,NULL,NULL
J460770,NULL,4639.026778
J476962,NULL,NULL
J483362,NULL,5549.125491
J499878,NULL,NULL
J519616,NULL,NULL
J528795,3088.823891,NULL
J534622,NULL,NULL
J574327,NULL,1498.783318
J586826,5205.119963,NULL
J598152,NULL,NULL
J612800,901.2877149,NULL
J622447,NULL,NULL
J636797,5985.552522,NULL
J666903,NULL,NULL
J684160,NULL,1662.516242
J695377,2520.720283,NULL
J703576,NULL,NULL
J727968,NULL,1256.923905
J745220,6741.094654,NULL
J751606,NULL,NULL
J752284,6534.389245,NULL
J756939,NULL,5894.933334
J757606,NULL,NULL
J795176,NULL,1147.89846
J821112,NULL,5118.061873
J850495,NULL,5460.847751
J869368,NULL,1712.794495
J869887,NULL,4629.932238
J887250,1259.415493,NULL
J898084,NULL,NULL
J898814,6833.821068,NULL
J902837,NULL,1967.055899
J902839,NULL,4821.711621
J908328,NULL,4813.13127
J916027,2045.813243,NULL
J92349,NULL,1246.19633
J936618,5490.29487,NULL
J966666,NULL,NULL
J990450,1606.733876,NULL
K112352,NULL,5246.886102
K112810,NULL,4948.48511
K119215,NULL,884.3816817
K159541,2095.926619,NULL
K171161,NULL,1103.319343
K189332,1132.634807,NULL
K19269,NULL,NULL
K20948,NULL,1974.780054
K216293,1786.980349,NULL
K240876,NULL,NULL
K243842,NULL,5592.361956
K268065,NULL,6308.688863
K288941,NULL,NULL
K294952,1066.193338,NULL
K300646,6099.843568,NULL
K309886,1312.896111,NULL
K320034,NULL,4999.844929
K322836,1003.311614,NULL
K350921,NULL,NULL
K373462,6321.808564,NULL
K378058,NULL,1632.365102
K401117,1353.29384,NULL
K402892,NULL,828.1128045
K409198,NULL,904.5361102
K455778,NULL,1710.958869
K489730,2886.678944,NULL
K490083,5736.11308,NULL
K493530,4445.497919,NULL
K498495,NULL,NULL
K509301,NULL,5696.26264
K512726,NULL,3860.25038
K514728,NULL,1655.992508
K520487,4750.23799,NULL
K532128,NULL,1261.564075
K534632,NULL,5590.582279
K541481,6017.240403,NULL
K549862,1882.950851,NULL
K557225,1261.505669,NULL
K561985,1418.137965,NULL
K578402,NULL,NULL
K578547,NULL,892.5309234
K588515,NULL,2426.091797
K591268,1449.202089,NULL
K605178,NULL,633.9224183
K610866,NULL,352.0824182
K618387,NULL,1204.479468
K619026,NULL,4727.906301
K637432,NULL,NULL
K669208,1885.164449,NULL
K677097,NULL,1084.469104
K690514,6528.343934,NULL
K698636,NULL,2359.530807
K69985,2353.856438,NULL
K700875,NULL,4675.756402
K71802,NULL,NULL
K720086,NULL,5140.822313
K732032,4334.844433,NULL
K740871,NULL,805.3931837
K755701,1453.3619,NULL
K76431,1984.206498,NULL
K768274,NULL,3479.074804
K775808,NULL,3812.770109
K776350,1096.59855,NULL
K783774,6230.665916,NULL
K785874,5841.787149,NULL
K794401,NULL,1090.460081
K798028,1149.045043,NULL
K798113,6261.418751,NULL
K816219,NULL,NULL
K833093,5992.346598,NULL
K843254,1892.964163,NULL
K845651,1708.389751,NULL
K853735,NULL,NULL
K870512,NULL,NULL
K879725,NULL,NULL
K901994,NULL,NULL
K923294,6447.106744,NULL
K940748,853.1123448,NULL
K957862,NULL,6122.640412
K980932,1009.028786,NULL
L10400,NULL,1077.09525
L10778,5152.428776,NULL
L110083,NULL,1825.985724
L113911,NULL,NULL
L117563,NULL,NULL
L146780,NULL,558.7166007
L154203,NULL,5467.127682
L156274,NULL,1568.344567
L161656,NULL,758.8338668
L184027,1705.874036,NULL
L212613,NULL,5311.628616
L221272,NULL,4939.550584
L223256,NULL,1015.71304
L223677,1636.48816,NULL
L226305,NULL,6123.243244
L239044,1147.794876,NULL
L248822,NULL,4844.338366
L253253,6304.203672,NULL
L294826,NULL,5953.077209
L327497,NULL,1289.886774
L33620,1795.595369,NULL
L339318,NULL,NULL
L386634,NULL,5527.671776
L405130,NULL,1104.049328
L406991,NULL,4180.815992
L409845,NULL,272.9823095
L421212,2024.875698,NULL
L452982,NULL,NULL
L463700,1818.572601,NULL
L473992,1469.569398,NULL
L494196,4755.552483,NULL
L521189,NULL,1299.583627
L529868,NULL,483.4546178
L535753,NULL,NULL
L542612,NULL,NULL
L552248,5530.375821,NULL
L558926,NULL,6026.66605
L559398,NULL,5145.473955
L589688,1279.856552,NULL
L595428,6163.633177,NULL
L596007,1491.768656,NULL
L603563,NULL,NULL
L608283,NULL,5652.464417
L612765,NULL,NULL
L615653,NULL,NULL
L619270,NULL,830.61429
L632280,NULL,5960.671631
L658290,NULL,447.1773574
L659263,NULL,NULL
L682277,NULL,704.1947645
L686627,1316.239744,NULL
L690004,NULL,5629.354953
L697372,4828.989251,NULL
L717330,6215.478436,NULL
L72577,1599.727567,NULL
L729864,1848.363566,NULL
L739156,NULL,577.4706172
L762626,NULL,1961.923965
L782448,NULL,1100.58554
L79617,6789.002522,NULL
L812206,NULL,1884.50089
L817058,NULL,6181.959795
L823137,NULL,NULL
L839648,6150.907768,NULL
L842847,5447.621158,NULL
L844920,NULL,NULL
L85018,1086.990308,NULL
L850408,NULL,6413.546906
L852596,5975.718085,NULL
L853820,NULL,249.3579815
L854223,NULL,5652.969156
L912239,5493.9737,NULL
L916753,NULL,NULL
L917070,NULL,4102.71703
L927003,NULL,NULL
L928678,2383.673575,NULL
L944578,6438.459484,NULL
L957640,NULL,1118.646915
L977760,2353.047822,NULL
L97798,5900.543943,NULL
L982121,NULL,1207.593093
L984058,1947.487826,NULL
M100162,NULL,3843.2286
M102949,1281.923094,NULL
M105252,NULL,NULL
M106741,NULL,4363.777277
M119218,NULL,4517.31047
M132487,NULL,3673.166054
M141263,5958.960225,NULL
M168449,NULL,726.8978219
M205175,NULL,1114.819074
M235859,NULL,NULL
M244558,NULL,NULL
M258307,NULL,NULL
M27166,6716.643947,NULL
M27449,950.4411542,NULL
M286359,1751.02003,NULL
M314123,NULL,5772.068776
M337097,NULL,5237.251646
M356621,NULL,NULL
M404332,NULL,5672.644392
M411726,NULL,1669.627909
M429173,NULL,5694.030993
M441477,2304.085004,NULL
M458617,NULL,NULL
M474053,NULL,5864.873198
M495151,NULL,1501.794265
M496408,NULL,1265.78479
M517236,NULL,6074.8746
M523186,NULL,1217.513281
M543828,6872.209499,NULL
M545168,1291.115762,NULL
M566246,NULL,NULL
M572384,NULL,5842.282612
M572988,1617.064452,NULL
M584587,NULL,1155.865056
M601678,NULL,NULL
M614018,NULL,NULL
M639958,NULL,NULL
M65348,NULL,5510.771354
M663152,NULL,4088.474484
M686165,NULL,6061.493639
M699985,NULL,4453.928623
M704449,NULL,NULL
M705253,6493.208909,NULL
M706056,6618.320348,NULL
M723914,NULL,NULL
M731030,NULL,NULL
M733994,NULL,1458.177149
M740803,NULL,NULL
M752980,6228.700498,NULL
M754335,NULL,5591.052659
M773746,2056.185889,NULL
M781717,6502.025208,NULL
M790643,NULL,1022.415622
M791093,NULL,NULL
M795125,5681.838688,NULL
M795444,NULL,1329.24842
M809132,NULL,4402.745053
M834837,NULL,1932.932484
M836207,NULL,6210.519966
M848259,6175.153891,NULL
M881138,995.1098617,NULL
M890549,5180.245459,NULL
M92372,NULL,NULL
M927991,NULL,1281.098493
M950404,5175.09924,NULL
M963224,NULL,NULL
M963240,NULL,1386.235112
M964781,5824.726674,NULL
M993150,NULL,878.627791
N122384,NULL,NULL
N123959,5759.875218,NULL
N132794,6227.256543,NULL
N164335,6121.42438,NULL
N171241,5630.968528,NULL
N197300,NULL,4580.335893
N21122,NULL,5739.899898
N220947,6175.505483,NULL
N233282,NULL,NULL
N247196,6417.049134,NULL
N261701,6192.473684,NULL
N267712,NULL,5727.232268
N277250,5910.719593,NULL
N279711,1078.291303,NULL
N293608,2790.826119,NULL
N302415,1244.709018,NULL
N323793,1698.876321,NULL
N327641,2186.78593,NULL
N364835,1782.001605,NULL
N367887,NULL,NULL
N37182,NULL,945.3802928
N375820,1531.68836,NULL
N397043,NULL,1380.469032
N406535,NULL,NULL
N434328,NULL,NULL
N439567,1921.908003,NULL
